contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,option_type,expiration
GOOG260320P00180000,2026-02-06 18:34:09+00:00,180.0,0.1,0.11,0.14,-0.050000004,-33.333336,2.0,2012,0.6982452050781252,False,REGULAR,USD,put,2026-03-20
GOOG260320P00185000,2026-02-06 19:09:44+00:00,185.0,0.12,0.13,0.16,-0.030000009,-20.000004,2.0,1206,0.6796907031250001,False,REGULAR,USD,put,2026-03-20
GOOG260320P00190000,2026-02-06 19:51:57+00:00,190.0,0.15,0.15,0.19,-0.049999997,-24.999998,4.0,3846,0.6630893066406252,False,REGULAR,USD,put,2026-03-20
GOOG260320P00195000,2026-02-06 14:30:02+00:00,195.0,0.2,0.18,0.21,0.080000006,66.66667,1.0,651,0.6445348046875,False,REGULAR,USD,put,2026-03-20
GOOG260320P00200000,2026-02-06 16:07:25+00:00,200.0,0.19,0.21,0.24,-0.060000002,-24.0,5.0,6055,0.6269568554687501,False,REGULAR,USD,put,2026-03-20
GOOG260320P00205000,2026-02-05 19:51:05+00:00,205.0,0.25,0.24,0.28,0.0,0.0,106.0,1010,0.6098671826171876,False,REGULAR,USD,put,2026-03-20
GOOG260320P00210000,2026-02-06 20:08:38+00:00,210.0,0.28,0.28,0.32,-0.00999999,-3.4482725,367.0,2539,0.5927775097656252,False,REGULAR,USD,put,2026-03-20
GOOG260320P00215000,2026-02-06 20:55:01+00:00,215.0,0.34,0.34,0.35,-0.049999982,-12.820509,499.0,7236,0.5756878369140624,False,REGULAR,USD,put,2026-03-20
GOOG260320P00220000,2026-02-06 18:15:51+00:00,220.0,0.3,0.4,0.43,-0.089999974,-23.076918,11.0,1593,0.5625043750000001,False,REGULAR,USD,put,2026-03-20
GOOG260320P00225000,2026-02-06 18:03:26+00:00,225.0,0.35,0.44,0.48,-0.110000014,-23.913046,14.0,802,0.5424850439453126,False,REGULAR,USD,put,2026-03-20
GOOG260320P00230000,2026-02-06 19:36:26+00:00,230.0,0.46,0.52,0.56,-0.06999996,-13.207541,216.0,1949,0.5278367529296876,False,REGULAR,USD,put,2026-03-20
GOOG260320P00235000,2026-02-06 20:44:26+00:00,235.0,0.62,0.59,0.62,-0.00999999,-1.5873001,331.0,981,0.508793974609375,False,REGULAR,USD,put,2026-03-20
GOOG260320P00240000,2026-02-06 19:57:47+00:00,240.0,0.65,0.67,0.71,-0.04000002,-5.7971044,45.0,2213,0.49414568359375005,False,REGULAR,USD,put,2026-03-20
